Expression	Value	Location	Type	
Xnormal	Error (col 1): Unknown or ambiguous symbol. Xnormal			
ADC_buffer1	<array>	0x20000000	uint16_t[3000]	
[248]	107	0x200001F0	uint16_t	
[249]	132	0x200001F2	uint16_t	
[250]	92	0x200001F4	uint16_t	
[251]	110	0x200001F6	uint16_t	
[252]	147	0x200001F8	uint16_t	
[253]	112	0x200001FA	uint16_t	
[254]	131	0x200001FC	uint16_t	
[255]	88	0x200001FE	uint16_t	
[256]	96	0x20000200	uint16_t	
[257]	108	0x20000202	uint16_t	
[258]	134	0x20000204	uint16_t	
[259]	104	0x20000206	uint16_t	
[260]	119	0x20000208	uint16_t	
[261]	164	0x2000020A	uint16_t	
[262]	138	0x2000020C	uint16_t	
[263]	95	0x2000020E	uint16_t	
[264]	128	0x20000210	uint16_t	
[265]	77	0x20000212	uint16_t	
[266]	94	0x20000214	uint16_t	
[267]	123	0x20000216	uint16_t	
[268]	156	0x20000218	uint16_t	
[269]	126	0x2000021A	uint16_t	
[270]	172	0x2000021C	uint16_t	
[271]	149	0x2000021E	uint16_t	
[272]	122	0x20000220	uint16_t	
[273]	151	0x20000222	uint16_t	
[274]	131	0x20000224	uint16_t	
[275]	89	0x20000226	uint16_t	
[276]	99	0x20000228	uint16_t	
[277]	119	0x2000022A	uint16_t	
[278]	165	0x2000022C	uint16_t	
[279]	144	0x2000022E	uint16_t	
[280]	101	0x20000230	uint16_t	
[281]	129	0x20000232	uint16_t	
[282]	81	0x20000234	uint16_t	
[283]	88	0x20000236	uint16_t	
[284]	96	0x20000238	uint16_t	
[285]	106	0x2000023A	uint16_t	
[286]	128	0x2000023C	uint16_t	
[287]	77	0x2000023E	uint16_t	
[288]	93	0x20000240	uint16_t	
[289]	118	0x20000242	uint16_t	
[290]	160	0x20000244	uint16_t	
[291]	123	0x20000246	uint16_t	
[292]	155	0x20000248	uint16_t	
[293]	123	0x2000024A	uint16_t	
[294]	156	0x2000024C	uint16_t	
[295]	126	0x2000024E	uint16_t	
[296]	172	0x20000250	uint16_t	
[297]	149	0x20000252	uint16_t	
[298]	122	0x20000254	uint16_t	
[299]	150	0x20000256	uint16_t	
[300]	128	0x20000258	uint16_t	
[301]	77	0x2000025A	uint16_t	
[302]	93	0x2000025C	uint16_t	
[303]	119	0x2000025E	uint16_t	
[304]	164	0x20000260	uint16_t	
[305]	138	0x20000262	uint16_t	
[306]	96	0x20000264	uint16_t	
[307]	107	0x20000266	uint16_t	
[308]	131	0x20000268	uint16_t	
[309]	88	0x2000026A	uint16_t	
[310]	96	0x2000026C	uint16_t	
[311]	107	0x2000026E	uint16_t	
[312]	131	0x20000270	uint16_t	
[313]	88	0x20000272	uint16_t	
[314]	96	0x20000274	uint16_t	
[315]	107	0x20000276	uint16_t	
[316]	131	0x20000278	uint16_t	
[317]	88	0x2000027A	uint16_t	
[318]	96	0x2000027C	uint16_t	
[319]	107	0x2000027E	uint16_t	
[320]	130	0x20000280	uint16_t	
[321]	84	0x20000282	uint16_t	
[322]	100	0x20000284	uint16_t	
[323]	122	0x20000286	uint16_t	
[324]	150	0x20000288	uint16_t	
[325]	128	0x2000028A	uint16_t	
[326]	76	0x2000028C	uint16_t	
[327]	87	0x2000028E	uint16_t	
[328]	115	0x20000290	uint16_t	
[329]	144	0x20000292	uint16_t	
[330]	100	0x20000294	uint16_t	
[331]	123	0x20000296	uint16_t	
[332]	155	0x20000298	uint16_t	
[333]	122	0x2000029A	uint16_t	
[334]	151	0x2000029C	uint16_t	
[335]	132	0x2000029E	uint16_t	
[336]	92	0x200002A0	uint16_t	
[337]	110	0x200002A2	uint16_t	
[338]	148	0x200002A4	uint16_t	
[339]	114	0x200002A6	uint16_t	
[340]	139	0x200002A8	uint16_t	
[341]	100	0x200002AA	uint16_t	
[342]	123	0x200002AC	uint16_t	
[343]	155	0x200002AE	uint16_t	
[344]	122	0x200002B0	uint16_t	
[345]	151	0x200002B2	uint16_t	
[346]	132	0x200002B4	uint16_t	
[347]	91	0x200002B6	uint16_t	
