Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20000000	uint16_t[3000]	
[246]	1271	0x200001EC	uint16_t	
[247]	1282	0x200001EE	uint16_t	
[248]	1278	0x200001F0	uint16_t	
[249]	1257	0x200001F2	uint16_t	
[250]	1231	0x200001F4	uint16_t	
[251]	1219	0x200001F6	uint16_t	
[252]	1226	0x200001F8	uint16_t	
[253]	1249	0x200001FA	uint16_t	
[254]	1264	0x200001FC	uint16_t	
[255]	1268	0x200001FE	uint16_t	
[256]	1261	0x20000200	uint16_t	
[257]	1247	0x20000202	uint16_t	
[258]	1236	0x20000204	uint16_t	
[259]	1239	0x20000206	uint16_t	
[260]	1256	0x20000208	uint16_t	
[261]	1260	0x2000020A	uint16_t	
[262]	1268	0x2000020C	uint16_t	
[263]	1257	0x2000020E	uint16_t	
[264]	1246	0x20000210	uint16_t	
[265]	1250	0x20000212	uint16_t	
[266]	1258	0x20000214	uint16_t	
[267]	1262	0x20000216	uint16_t	
[268]	1271	0x20000218	uint16_t	
[269]	1246	0x2000021A	uint16_t	
[270]	1241	0x2000021C	uint16_t	
[271]	1241	0x2000021E	uint16_t	
[272]	1242	0x20000220	uint16_t	
[273]	1263	0x20000222	uint16_t	
[274]	1262	0x20000224	uint16_t	
[275]	1262	0x20000226	uint16_t	
[276]	1250	0x20000228	uint16_t	
[277]	1240	0x2000022A	uint16_t	
[278]	1233	0x2000022C	uint16_t	
[279]	1228	0x2000022E	uint16_t	
[280]	1247	0x20000230	uint16_t	
[281]	1270	0x20000232	uint16_t	
[282]	1277	0x20000234	uint16_t	
[283]	1272	0x20000236	uint16_t	
[284]	1256	0x20000238	uint16_t	
[285]	1238	0x2000023A	uint16_t	
[286]	1219	0x2000023C	uint16_t	
[287]	1220	0x2000023E	uint16_t	
[288]	1247	0x20000240	uint16_t	
[289]	1280	0x20000242	uint16_t	
[290]	1298	0x20000244	uint16_t	
[291]	1290	0x20000246	uint16_t	
[292]	1249	0x20000248	uint16_t	
[293]	1213	0x2000024A	uint16_t	
[294]	1195	0x2000024C	uint16_t	
[295]	1220	0x2000024E	uint16_t	
[296]	1254	0x20000250	uint16_t	
[297]	1303	0x20000252	uint16_t	
[298]	1310	0x20000254	uint16_t	
[299]	1276	0x20000256	uint16_t	
[300]	1225	0x20000258	uint16_t	
[301]	1189	0x2000025A	uint16_t	
[302]	1185	0x2000025C	uint16_t	
[303]	1237	0x2000025E	uint16_t	
[304]	1275	0x20000260	uint16_t	
[305]	1313	0x20000262	uint16_t	
[306]	1301	0x20000264	uint16_t	
[307]	1267	0x20000266	uint16_t	
[308]	1206	0x20000268	uint16_t	
[309]	1186	0x2000026A	uint16_t	
[310]	1202	0x2000026C	uint16_t	
[311]	1248	0x2000026E	uint16_t	
[312]	1301	0x20000270	uint16_t	
[313]	1315	0x20000272	uint16_t	
[314]	1286	0x20000274	uint16_t	
[315]	1230	0x20000276	uint16_t	
[316]	1194	0x20000278	uint16_t	
[317]	1189	0x2000027A	uint16_t	
[318]	1228	0x2000027C	uint16_t	
[319]	1273	0x2000027E	uint16_t	
[320]	1309	0x20000280	uint16_t	
[321]	1301	0x20000282	uint16_t	
[322]	1252	0x20000284	uint16_t	
[323]	1210	0x20000286	uint16_t	
[324]	1200	0x20000288	uint16_t	
[325]	1217	0x2000028A	uint16_t	
[326]	1268	0x2000028C	uint16_t	
[327]	1304	0x2000028E	uint16_t	
[328]	1310	0x20000290	uint16_t	
[329]	1278	0x20000292	uint16_t	
[330]	1241	0x20000294	uint16_t	
[331]	1212	0x20000296	uint16_t	
[332]	1215	0x20000298	uint16_t	
[333]	1238	0x2000029A	uint16_t	
[334]	1266	0x2000029C	uint16_t	
[335]	1287	0x2000029E	uint16_t	
[336]	1278	0x200002A0	uint16_t	
[337]	1258	0x200002A2	uint16_t	
[338]	1229	0x200002A4	uint16_t	
[339]	1222	0x200002A6	uint16_t	
[340]	1229	0x200002A8	uint16_t	
[341]	1243	0x200002AA	uint16_t	
[342]	1277	0x200002AC	uint16_t	
[343]	1264	0x200002AE	uint16_t	
[344]	1262	0x200002B0	uint16_t	
[345]	1252	0x200002B2	uint16_t	
[346]	1233	0x200002B4	uint16_t	
[347]	1226	0x200002B6	uint16_t	
[348]	1247	0x200002B8	uint16_t	
[349]	1269	0x200002BA	uint16_t	
[350]	1283	0x200002BC	uint16_t	
[351]	1271	0x200002BE	uint16_t	
[352]	1248	0x200002C0	uint16_t	
[353]	1239	0x200002C2	uint16_t	
[354]	1213	0x200002C4	uint16_t	
[355]	1231	0x200002C6	uint16_t	
[356]	1256	0x200002C8	uint16_t	
[357]	1273	0x200002CA	uint16_t	
[358]	1277	0x200002CC	uint16_t	
[359]	1269	0x200002CE	uint16_t	
[360]	1253	0x200002D0	uint16_t	
[361]	1239	0x200002D2	uint16_t	
[362]	1238	0x200002D4	uint16_t	
[363]	1240	0x200002D6	uint16_t	
[364]	1262	0x200002D8	uint16_t	
[365]	1266	0x200002DA	uint16_t	
[366]	1267	0x200002DC	uint16_t	
[367]	1247	0x200002DE	uint16_t	
[368]	1234	0x200002E0	uint16_t	
[369]	1220	0x200002E2	uint16_t	
[370]	1236	0x200002E4	uint16_t	
[371]	1249	0x200002E6	uint16_t	
[372]	1262	0x200002E8	uint16_t	
[373]	1257	0x200002EA	uint16_t	
[374]	1249	0x200002EC	uint16_t	
[375]	1249	0x200002EE	uint16_t	
[376]	1237	0x200002F0	uint16_t	
[377]	1243	0x200002F2	uint16_t	
[378]	1245	0x200002F4	uint16_t	
[379]	1250	0x200002F6	uint16_t	
[380]	1262	0x200002F8	uint16_t	
[381]	1262	0x200002FA	uint16_t	
[382]	1268	0x200002FC	uint16_t	
[383]	1251	0x200002FE	uint16_t	
[384]	1245	0x20000300	uint16_t	
[385]	1245	0x20000302	uint16_t	
[386]	1251	0x20000304	uint16_t	
[387]	1250	0x20000306	uint16_t	
[388]	1257	0x20000308	uint16_t	
[389]	1237	0x2000030A	uint16_t	
[390]	1227	0x2000030C	uint16_t	
[391]	1219	0x2000030E	uint16_t	
[392]	1227	0x20000310	uint16_t	
[393]	1232	0x20000312	uint16_t	
[394]	1247	0x20000314	uint16_t	
[395]	1259	0x20000316	uint16_t	
[396]	1266	0x20000318	uint16_t	
[397]	1253	0x2000031A	uint16_t	
[398]	1238	0x2000031C	uint16_t	
[399]	1226	0x2000031E	uint16_t	
[400]	1248	0x20000320	uint16_t	
[401]	1243	0x20000322	uint16_t	
[402]	1255	0x20000324	uint16_t	
[403]	1260	0x20000326	uint16_t	
[404]	1258	0x20000328	uint16_t	
[405]	1235	0x2000032A	uint16_t	
[406]	1231	0x2000032C	uint16_t	
[407]	1237	0x2000032E	uint16_t	
[408]	1225	0x20000330	uint16_t	
[409]	1244	0x20000332	uint16_t	
[410]	1262	0x20000334	uint16_t	
[411]	1259	0x20000336	uint16_t	
[412]	1254	0x20000338	uint16_t	
[413]	1251	0x2000033A	uint16_t	
