Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20001000	uint16_t[1024]	
adc_res	Error (col 1): Unknown or ambiguous symbol. adc_res			
NewSample	Error (col 1): Unknown or ambiguous symbol. NewSample			
OUT	<array>	0x20000000	float[1024]	
[195]	3.24328025E+36	0x2000030C	float	
[196]	2.92468004E+36	0x20000310	float	
[197]	1.8042089111E+36	0x20000314	float	
[198]	1.42296236E+36	0x20000318	float	
[199]	1.2386037333E+36	0x2000031C	float	
[200]	1.7523021E+36	0x20000320	float	
[201]	2.7098931333E+36	0x20000324	float	
[202]	3.1681050911E+36	0x20000328	float	
[203]	3.186004E+36	0x2000032C	float	
[204]	2.70273376E+36	0x20000330	float	
[205]	1.71650428E+36	0x20000334	float	
[206]	1.2797712411E+36	0x20000338	float	
[207]	1.3406275022E+36	0x2000033C	float	
[208]	2.03152496E+36	0x20000340	float	
[209]	3.16452524E+36	0x20000344	float	
[210]	3.2056928322E+36	0x20000348	float	
[211]	3.0607116333E+36	0x2000034C	float	
[212]	2.33401635E+36	0x20000350	float	
[213]	1.62879982E+36	0x20000354	float	
[214]	1.26724202E+36	0x20000358	float	
[215]	1.5160367522E+36	0x2000035C	float	
[216]	2.30358829E+36	0x20000360	float	
[217]	3.06250155E+36	0x20000364	float	
[218]	3.1931633744E+36	0x20000368	float	
[219]	2.92468004E+36	0x2000036C	float	
[220]	1.90623276E+36	0x20000370	float	
[221]	1.5410951944E+36	0x20000374	float	
[222]	1.33346797E+36	0x20000378	float	
[223]	1.7021852211E+36	0x2000037C	float	
[224]	2.50763567E+36	0x20000380	float	
[225]	3.04460264E+36	0x20000384	float	
[226]	3.0929296E+36	0x20000388	float	
[227]	2.7421111E+36	0x2000038C	float	
[228]	1.8113684433E+36	0x20000390	float	
[229]	1.4730794011E+36	0x20000394	float	
[230]	1.4265422044E+36	0x20000398	float	
[231]	1.91160236E+36	0x2000039C	float	
[232]	2.69557406E+36	0x200003A0	float	
[233]	3.0249138144E+36	0x200003A4	float	
[234]	2.9819566211E+36	0x200003A8	float	
[235]	2.56849193E+36	0x200003AC	float	
[236]	1.8650651722E+36	0x200003B0	float	
[237]	1.4856085422E+36	0x200003B4	float	
[238]	1.55541425E+36	0x200003B8	float	
[239]	2.12101951E+36	0x200003BC	float	
[240]	3.01059475E+36	0x200003C0	float	
[241]	2.9873260722E+36	0x200003C4	float	
[242]	2.8656135511E+36	0x200003C8	float	
[243]	2.0386845E+36	0x200003CC	float	
[244]	1.77736054E+36	0x200003D0	float	
[245]	1.50171753E+36	0x200003D4	float	
[246]	1.7326134311E+36	0x200003D8	float	
[247]	2.3125377522E+36	0x200003DC	float	
[248]	3.00164513E+36	0x200003E0	float	
[249]	2.9515282533E+36	0x200003E4	float	
[250]	2.7277920422E+36	0x200003E8	float	
[251]	1.94561026E+36	0x200003EC	float	
[252]	1.65743794E+36	0x200003F0	float	
[253]	1.53751534E+36	0x200003F4	float	
[254]	1.88833385E+36	0x200003F8	float	
[255]	2.49152669E+36	0x200003FC	float	
[256]	2.9157304344E+36	0x20000400	float	
[257]	2.88172253E+36	0x20000404	float	
[258]	2.6007099111E+36	0x20000408	float	
[259]	1.98856761E+36	0x2000040C	float	
[260]	1.60374122E+36	0x20000410	float	
[261]	1.61448059E+36	0x20000414	float	
[262]	2.03689457E+36	0x20000418	float	
[263]	2.64008757E+36	0x2000041C	float	
[264]	2.90499121E+36	0x20000420	float	
[265]	2.8369754222E+36	0x20000424	float	
[266]	2.2516814911E+36	0x20000428	float	
[267]	1.94203042E+36	0x2000042C	float	
[268]	1.60374122E+36	0x20000430	float	
[269]	1.7218740544E+36	0x20000434	float	
[270]	2.18366554E+36	0x20000438	float	
[271]	2.8745631644E+36	0x2000043C	float	
[272]	2.8656135511E+36	0x20000440	float	
[273]	2.7224225911E+36	0x20000444	float	
[274]	2.01541598E+36	0x20000448	float	
[275]	1.84895618E+36	0x2000044C	float	
[276]	1.6663874022E+36	0x20000450	float	
[277]	1.8650651722E+36	0x20000454	float	
[278]	2.36444455E+36	0x20000458	float	
[279]	2.98911599E+36	0x2000045C	float	
[280]	2.82265635E+36	0x20000460	float	
[281]	2.56312232E+36	0x20000464	float	
[282]	2.0941711511E+36	0x20000468	float	
[283]	1.73440319E+36	0x2000046C	float	
[284]	1.7075548311E+36	0x20000470	float	
[285]	2.0386845E+36	0x20000474	float	
[286]	2.53269411E+36	0x20000478	float	
[287]	2.8369754222E+36	0x2000047C	float	
[288]	2.76179994E+36	0x20000480	float	
[289]	2.12996897E+36	0x20000484	float	
[290]	2.01183613E+36	0x20000488	float	
[291]	1.7093447544E+36	0x2000048C	float	
[292]	1.7880999244E+36	0x20000490	float	
[293]	2.176506E+36	0x20000494	float	
[294]	2.6740953133E+36	0x20000498	float	
[295]	2.78685854E+36	0x2000049C	float	
[296]	2.65261671E+36	0x200004A0	float	
[297]	2.14607795E+36	0x200004A4	float	
[298]	1.88654392E+36	0x200004A8	float	
[299]	1.73619311E+36	0x200004AC	float	
[300]	1.92413151E+36	0x200004B0	float	
[301]	2.33222642E+36	0x200004B4	float	
[302]	2.96584731E+36	0x200004B8	float	
[303]	2.73853157E+36	0x200004BC	float	
[304]	2.4503592611E+36	0x200004C0	float	
[305]	2.2105139044E+36	0x200004C4	float	
[306]	1.85253603E+36	0x200004C8	float	
[307]	1.8006292244E+36	0x200004CC	float	
[308]	2.03689457E+36	0x200004D0	float	
[309]	2.4163513644E+36	0x200004D4	float	
[310]	2.96584731E+36	0x200004D8	float	
[311]	2.6740953133E+36	0x200004DC	float	
[312]	2.21230382E+36	0x200004E0	float	
[313]	2.11028013E+36	0x200004E4	float	
[314]	1.85611571E+36	0x200004E8	float	
[315]	1.8668550944E+36	0x200004EC	float	
[316]	2.12280928E+36	0x200004F0	float	
[317]	2.48973676E+36	0x200004F4	float	
[318]	2.85308441E+36	0x200004F8	float	
[319]	2.6150291344E+36	0x200004FC	float	
[320]	2.3053780622E+36	0x20000500	float	
[321]	2.02078559E+36	0x20000504	float	
[322]	1.8417966533E+36	0x20000508	float	
[323]	1.88654392E+36	0x2000050C	float	
[324]	2.19977468E+36	0x20000510	float	
[325]	2.58639084E+36	0x20000514	float	
[326]	2.7528506422E+36	0x20000518	float	
[327]	2.5416435733E+36	0x2000051C	float	
[328]	2.29284892E+36	0x20000520	float	
